MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
338253000,2023-06-30T04:27:38,29.29503,-94.85799,0.0,360.0,511.0,RMS TRITON,,WDG5261,60,5,30,7,,60,A
365973420,2023-06-30T04:33:35,29.30866,-94.87576,7.4,51.8,511.0,CHARLES ALFRED,,WYU9726,31,0,16,6,0.0,31,A
367473550,2023-06-30T04:31:24,29.30788,-94.87599,3.1,52.6,511.0,ST CHARLES,,WDF6371,31,12,23,10,,52,A
368052580,2023-06-30T04:24:07,29.30654,-94.82492,0.0,349.4,206.0,WOOD RIVER,IMO101233527,WDK4175,57,12,114,34,3.0,57,A
366874110,2023-06-30T04:31:42,29.31236,-94.80447,0.0,317.9,511.0,PETITE,IMO8769810,WDB2268,90,0,22,17,1.7,99,A
338253000,2023-06-30T04:30:36,29.29502,-94.85800,0.0,360.0,511.0,RMS TRITON,,WDG5261,60,5,30,7,,60,A
366687000,2023-06-30T04:23:59,29.29492,-94.85797,0.1,360.0,511.0,RMS ORION,,WDG5247,60,5,29,7,,60,A
367500410,2023-06-30T04:31:51,29.03695,-95.22792,4.6,200.0,198.0,RICHARD J DEVALL,,WDF8965,31,12,17,6,,31,A
367008450,2023-06-30T04:33:16,29.22360,-95.03070,4.6,198.0,511.0,CAPT HERBERT,,WRG8848,31,0,19,7,,52,A
367125100,2023-06-30T04:27:44,29.32076,-94.85877,1.8,246.6,511.0,CAPT TOM ECHOLS SR,,WDC3771,31,12,20,7,,31,A
368148180,2023-06-30T04:30:54,29.30767,-94.82135,0.0,202.7,194.0,KAMI RENEE,,WDL6178,52,12,22,10,3.3,52,A
368145870,2023-06-30T04:28:41,29.17485,-95.10486,0.3,273.9,511.0,LILLIANNE D,,WDL5939,57,12,123,34,3.1,57,A
368148180,2023-06-30T04:28:43,29.30766,-94.82133,0.0,201.1,194.0,KAMI RENEE,,WDL6178,52,12,22,10,3.3,52,A
366845060,2023-06-30T04:32:26,29.31226,-94.80234,0.0,317.6,511.0,ASHTON T,,WDIJ,90,5,28,7,,60,A
367751160,2023-06-30T04:31:09,29.31311,-94.80979,0.0,224.3,190.0,CHARLIE C,,WDI9685,31,5,,,,57,A
367500410,2023-06-30T04:34:12,29.03419,-95.22907,4.5,200.0,197.0,RICHARD J DEVALL,,WDF8965,31,12,17,6,,31,A
368272520,2023-06-30T04:32:25,29.17493,-95.10276,5.0,76.8,78.0,ALYS,,WDN3530,31,12,23,9,3.4,57,A
367008450,2023-06-30T04:32:07,29.22492,-95.03007,4.7,199.0,511.0,CAPT HERBERT,,WRG8848,31,0,19,7,,52,A
367113150,2023-06-30T04:30:50,29.16125,-95.13320,6.4,233.8,234.0,CHRIS PIKE,,WDD2269,31,0,26,9,,31,A
367000450,2023-06-30T04:34:45,29.32595,-94.85153,5.3,232.4,231.0,WILLIAM D,,WDG2968,99,12,29,10,2.7,57,A
367016010,2023-06-30T04:31:26,29.31201,-94.80335,0.0,360.0,511.0,HENRY T,,WDC3903,31,0,15,7,,31,A
366874110,2023-06-30T04:35:13,29.31229,-94.80438,0.0,318.9,511.0,PETITE,IMO8769810,WDB2268,90,0,22,17,1.7,99,A
